device_id, CreateTime, RecvTime, Data
1, , 2019-10-16 19:27:58.021000, 25843276
1, , 2019-10-16 19:28:05.093000, 25850343
1, , 2019-10-16 19:28:12.157000, 25857411
1, , 2019-10-16 19:28:19.225000, 25864479
1, , 2019-10-16 19:28:26.289000, 25871547
1, , 2019-10-16 19:28:33.367000, 25878616
1, , 2019-10-16 19:28:40.424000, 25885684
1, , 2019-10-16 19:28:47.488000, 25892753
1, , 2019-10-16 19:28:54.554000, 25899820
1, , 2019-10-16 19:29:01.619000, 25906892
1, , 2019-10-16 19:29:08.684000, 25913959
1, , 2019-10-16 19:29:15.751000, 25921027
1, , 2019-10-16 19:29:22.816000, 25928097
1, , 2019-10-16 19:29:29.884000, 25935164
1, , 2019-10-16 19:29:36.948000, 25942233
1, , 2019-10-16 19:29:44.020000, 25949301
1, , 2019-10-16 19:29:51.085000, 25956370
1, , 2019-10-16 19:29:58.146000, 25963439
1, , 2019-10-16 19:30:05.221000, 25970506
1, , 2019-10-16 19:30:12.295000, 25977580
1, , 2019-10-16 19:30:19.366000, 25984660
1, , 2019-10-16 19:30:27.212000, 25991730
1, , 2019-10-16 19:30:35.164000, 25999579
1, , 2019-10-16 19:30:41.346000, 26006650
1, , 2019-10-16 19:30:48.413000, 26013717
1, , 2019-10-16 19:30:55.476000, 26020785
1, , 2019-10-16 19:31:02.542000, 26027853
1, , 2019-10-16 19:31:09.610000, 26034920
1, , 2019-10-16 19:31:16.675000, 26041987
1, , 2019-10-16 19:31:23.740000, 26049055
1, , 2019-10-16 19:31:30.807000, 26056122
1, , 2019-10-16 19:31:37.892000, 26063191
1, , 2019-10-16 19:31:44.950000, 26070272
1, , 2019-10-16 19:31:52.669000, 26077340
1, , 2019-10-16 19:31:59.105000, 26084411
1, , 2019-10-16 19:32:06.166000, 26091492
1, , 2019-10-16 19:32:14.169000, 26098560
1, , 2019-10-16 19:32:20.291000, 26105627
1, , 2019-10-16 19:32:27.357000, 26112695
1, , 2019-10-16 19:32:34.413000, 26119763
1, , 2019-10-16 19:32:42.198000, 26126833
1, , 2019-10-16 19:32:49.259000, 26134609
1, , 2019-10-16 19:32:56.325000, 26141679
1, , 2019-10-16 19:33:03.393000, 26148746
1, , 2019-10-16 19:33:10.468000, 26155813
1, , 2019-10-16 19:33:17.525000, 26162881
1, , 2019-10-16 19:33:24.590000, 26169952
1, , 2019-10-16 19:33:31.652000, 26177020
1, , 2019-10-16 19:33:38.737000, 26184089
1, , 2019-10-16 19:33:45.785000, 26191159
1, , 2019-10-16 19:33:52.855000, 26198227
1, , 2019-10-16 19:33:59.915000, 26205295
1, , 2019-10-16 19:34:06.982000, 26212367
1, , 2019-10-16 19:34:14.056000, 26219434
1, , 2019-10-16 19:34:21.140000, 26226509
1, , 2019-10-16 19:34:29.206000, 26234597
1, , 2019-10-16 19:34:36.283000, 26241665
1, , 2019-10-16 19:34:43.348000, 26248748
1, , 2019-10-16 19:34:50.414000, 26255815
1, , 2019-10-16 19:34:57.487000, 26262893
1, , 2019-10-16 19:35:04.550000, 26269961
1, , 2019-10-16 19:35:11.617000, 26277028
1, , 2019-10-16 19:35:18.691000, 26284095
1, , 2019-10-16 19:35:25.755000, 26291171
1, , 2019-10-16 19:35:32.822000, 26298238
1, , 2019-10-16 19:35:39.885000, 26305306
1, , 2019-10-16 19:35:46.947000, 26312374
1, , 2019-10-16 19:35:54.045000, 26319441
1, , 2019-10-16 19:36:01.115000, 26326540
1, , 2019-10-16 19:36:07.699000, 26332615
1, , 2019-10-16 19:36:14.763000, 26340198
1, , 2019-10-16 19:36:21.827000, 26347266
1, , 2019-10-16 19:36:28.904000, 26354333
1, , 2019-10-16 19:36:35.969000, 26361414
1, , 2019-10-16 19:36:43.041000, 26368482
1, , 2019-10-16 19:36:50.104000, 26375556
1, , 2019-10-16 19:36:57.168000, 26382624
1, , 2019-10-16 19:37:04.239000, 26389692
1, , 2019-10-16 19:37:11.306000, 26396764
1, , 2019-10-16 19:37:18.367000, 26403834
1, , 2019-10-16 19:37:25.449000, 26410902
1, , 2019-10-16 19:37:31.518000, 26416991
1, , 2019-10-16 19:37:38.607000, 26424061
1, , 2019-10-16 19:37:45.671000, 26431147
1, , 2019-10-16 19:37:52.735000, 26438214
1, , 2019-10-16 19:37:59.812000, 26445283
1, , 2019-10-16 19:38:06.891000, 26452361
1, , 2019-10-16 19:38:13.955000, 26459443
1, , 2019-10-16 19:38:21.031000, 26466511
1, , 2019-10-16 19:38:28.099000, 26473589
1, , 2019-10-16 19:38:35.163000, 26480658
1, , 2019-10-16 19:38:42.253000, 26487728
1, , 2019-10-16 19:38:49.355000, 26494821
1, , 2019-10-16 19:38:56.423000, 26501924
1, , 2019-10-16 19:39:04.187000, 26508996
1, , 2019-10-16 19:39:10.594000, 26516065
1, , 2019-10-16 19:39:17.659000, 26523174
1, , 2019-10-16 19:39:24.724000, 26530241
1, , 2019-10-16 19:39:31.788000, 26537309
1, , 2019-10-16 19:39:38.854000, 26544377
1, , 2019-10-16 19:39:45.918000, 26551447
1, , 2019-10-16 19:39:53.689000, 26558518
1, , 2019-10-16 19:40:00.055000, 26565586
1, , 2019-10-16 19:40:07.120000, 26572657
1, , 2019-10-16 19:40:14.187000, 26579724
1, , 2019-10-16 19:40:22.240000, 26586794
1, , 2019-10-16 19:40:29.303000, 26594851
1, , 2019-10-16 19:40:36.373000, 26601919
1, , 2019-10-16 19:40:43.430000, 26608989
1, , 2019-10-16 19:40:50.516000, 26616057
1, , 2019-10-16 19:40:57.582000, 26623139
1, , 2019-10-16 19:41:04.649000, 26630206
1, , 2019-10-16 19:41:11.714000, 26637274
1, , 2019-10-16 19:41:18.790000, 26644343
1, , 2019-10-16 19:41:25.855000, 26651422
1, , 2019-10-16 19:41:32.922000, 26658489
1, , 2019-10-16 19:41:39.982000, 26665558
1, , 2019-10-16 19:41:46.053000, 26671625
1, , 2019-10-16 19:41:52.135000, 26677697
1, , 2019-10-16 19:41:59.201000, 26684776
1, , 2019-10-16 19:42:06.264000, 26691845
1, , 2019-10-16 19:42:13.333000, 26698914
1, , 2019-10-16 19:42:20.395000, 26705982
1, , 2019-10-16 19:42:27.465000, 26713050
1, , 2019-10-16 19:42:34.532000, 26720121
1, , 2019-10-16 19:42:41.596000, 26727190
1, , 2019-10-16 19:42:48.663000, 26734258
1, , 2019-10-16 19:42:55.727000, 26741326
1, , 2019-10-16 19:43:02.794000, 26748394
1, , 2019-10-16 19:43:09.860000, 26755464
1, , 2019-10-16 19:43:16.921000, 26762533
1, , 2019-10-16 19:43:23.989000, 26769600
1, , 2019-10-16 19:43:31.056000, 26776669
1, , 2019-10-16 19:43:38.125000, 26783740
1, , 2019-10-16 19:43:45.192000, 26790811
1, , 2019-10-16 19:43:52.255000, 26797879
1, , 2019-10-16 19:43:59.320000, 26804946
1, , 2019-10-16 19:44:06.386000, 26812013
1, , 2019-10-16 19:44:13.452000, 26819081
1, , 2019-10-16 19:44:20.515000, 26826148
1, , 2019-10-16 19:44:27.582000, 26833215
1, , 2019-10-16 19:44:34.655000, 26840283
1, , 2019-10-16 19:44:41.721000, 26847361
1, , 2019-10-16 19:44:48.789000, 26854431
1, , 2019-10-16 19:44:55.855000, 26861500
1, , 2019-10-16 19:45:02.918000, 26868570
1, , 2019-10-16 19:45:10.019000, 26875638
1, , 2019-10-16 19:45:17.086000, 26882742
1, , 2019-10-16 19:45:24.153000, 26889811
1, , 2019-10-16 19:45:31.219000, 26896879
1, , 2019-10-16 19:45:39.240000, 26903949
1, , 2019-10-16 19:45:46.298000, 26911972
1, , 2019-10-16 19:45:53.369000, 26919041
1, , 2019-10-16 19:46:00.426000, 26926109
1, , 2019-10-16 19:46:06.502000, 26932177
1, , 2019-10-16 19:46:13.567000, 26939247
1, , 2019-10-16 19:46:20.631000, 26946314
1, , 2019-10-16 19:46:27.697000, 26953382
1, , 2019-10-16 19:46:35.708000, 26960451
1, , 2019-10-16 19:46:41.826000, 26967519
1, , 2019-10-16 19:46:49.746000, 26974588
1, , 2019-10-16 19:46:56.806000, 26982503
1, , 2019-10-16 19:47:03.867000, 26989570
1, , 2019-10-16 19:47:11.711000, 26996637
1, , 2019-10-16 19:47:18.079000, 27003784
1, , 2019-10-16 19:47:25.145000, 27010852
1, , 2019-10-16 19:47:32.211000, 27017920
1, , 2019-10-16 19:47:39.323000, 27024991
1, , 2019-10-16 19:47:47.213000, 27032102
1, , 2019-10-16 19:47:53.459000, 27039172
1, , 2019-10-16 19:48:00.524000, 27046243
1, , 2019-10-16 19:48:07.587000, 27053311
1, , 2019-10-16 19:48:15.214000, 27060379
1, , 2019-10-16 19:48:21.718000, 27067447
1, , 2019-10-16 19:48:28.788000, 27074514
1, , 2019-10-16 19:48:35.853000, 27081585
1, , 2019-10-16 19:48:42.920000, 27088654
1, , 2019-10-16 19:48:49.984000, 27095721
1, , 2019-10-16 19:48:57.051000, 27102789
1, , 2019-10-16 19:49:04.116000, 27109858
1, , 2019-10-16 19:49:11.179000, 27116925
1, , 2019-10-16 19:49:18.247000, 27123993
1, , 2019-10-16 19:49:25.314000, 27131062
1, , 2019-10-16 19:49:32.381000, 27138135
1, , 2019-10-16 19:49:39.446000, 27145207
1, , 2019-10-16 19:49:46.534000, 27152274
1, , 2019-10-16 19:49:53.579000, 27159347
1, , 2019-10-16 19:50:00.646000, 27166414
